epoch,loss,val_loss
0,0.053456927492669,0.04072364364915034
1,0.03233717160914197,0.027980337467263725
2,0.02492700748242942,0.03091358834439341
3,0.01980811038325283,0.029829719213440138
4,0.016150224326340622,0.023240645553040153
5,0.013979598520250613,0.012154963237288244
6,0.011722096965355065,0.030566141228465474
7,0.010779913161072853,0.01293607710805886
8,0.010243982999653168,0.011550296166473451
9,0.009629668605976941,0.01684672399150098
10,0.009217079154793296,0.013644788866205251
11,0.009241197040375152,0.010044400977409062
12,0.008770141966746022,0.013707269051605287
13,0.008682049549166545,0.01635902773534112
14,0.00861451697548706,0.012096944128108375
15,0.010654411614249666,0.008594023385633002
16,0.009041350450560013,0.019342265023356852
17,0.009081950181050942,0.006638704532045214
18,0.008274264599916342,0.009656572317266288
19,0.007822135942453692,0.008058781530160238
20,0.007549413693988057,0.028448813047040913
21,0.008114237644849302,0.11031402855673257
22,0.008767088224730836,0.010442822226597107
23,0.0059229794276116935,0.0047316377509987965
24,0.005427323044385573,0.005309844687444103
25,0.005257071922851929,0.004079007266281063
26,0.0050701165246707465,0.004592917595907827
27,0.0047414161347798444,0.004604545445866226
28,0.004488162156654748,0.0038202154785668585
29,0.004281034374406913,0.003753733807517325
30,0.0041897408649766875,0.0036626963068128507
31,0.004042973526199077,0.003930892856955966
32,0.004233978005256978,0.004198149445822791
33,0.003990704535200241,0.003667879887336098
34,0.003859444719826378,0.0034667467219097648
35,0.003758625926391815,0.00399589045863489
36,0.003766908567374205,0.0036432016983299572
37,0.0036934514421917116,0.003340242779813707
38,0.0036366300555932935,0.0033067674821187906
39,0.0035414657997624626,0.00307200282045147
40,0.0034645372134838085,0.006226041169344064
41,0.003429040012367601,0.003089066974900882
42,0.003398342449798831,0.003187543178415474
43,0.0032909713428371594,0.003131815026897718
44,0.0034329298031038603,0.004965517947258537
45,0.0033648689635949174,0.0038265320780577466
46,0.00326642960450723,0.0029248797423754107
47,0.0031921004132785917,0.003208337533150745
48,0.0032060999150459878,0.0030553763328284465
49,0.00315472264655454,0.0029534062658272244
50,0.003140748578123387,0.0037158443181611158
51,0.0030923687441662285,0.003154269330587019
52,0.0031195910719086796,0.003574126499348923
53,0.003098278082299894,0.0027501476819024365
54,0.0029657429074783008,0.002847282342640135
55,0.003241279494436211,0.0036681333988192767
56,0.003110627689432444,0.0034849655896644384
57,0.0030030654549313357,0.002970384474953308
58,0.003103429810907357,0.003000523576595108
59,0.0029881274764317484,0.005151974622790208
60,0.0029618199303773213,0.0034608753117294434
61,0.0029031726667725698,0.003215506022302982
62,0.002959793424750727,0.03411736657076022
63,0.0035900861089443047,0.002988396308330052
